Size,Comaprisons
30,113
49,258
68,357
87,474
106,656
125,785
144,974
163,1185
182,1225
201,1568
220,1672
239,1865
258,2170
277,2664
296,2415
315,2488
334,2882
353,2996
372,3662
391,3380
410,3796
429,3987
448,4739
467,4758
486,4635
505,5217
524,6019
543,5636
562,5626
581,6066
600,6071
619,6309
638,6522
657,6624
676,7723
695,8092
714,8000
733,8357
752,9074
771,8566
790,9042
809,9427
828,9758
847,10326
866,10424
885,10620
904,11974
923,10766
942,11608
961,11878
